mass_A
t,x,y
1.011228682E1,-5.396347132E0,2.276455874E0
1.012166751E1,-5.368841483E0,2.279450842E0
1.013104820E1,-5.361922285E0,2.280890743E0
1.014042889E1,-5.360565738E0,2.280766192E0
1.014980957E1,-5.360130359E0,2.280647097E0
1.015919026E1,-5.353831939E0,2.279365318E0
1.016857095E1,-5.323064565E0,2.275631296E0
1.017795163E1,-5.292389381E0,2.273737877E0
1.018733232E1,-5.279578637E0,2.274991805E0
1.019671301E1,-5.265736197E0,2.276132524E0
1.020609369E1,-5.253842939E0,2.277956711E0
1.021547438E1,-5.245191453E0,2.277780712E0
1.022485507E1,-5.232136602E0,2.276477917E0
1.023423576E1,-5.218865633E0,2.275605241E0
1.024361644E1,-5.214169598E0,2.275889273E0
1.025299713E1,-5.214524854E0,2.276202472E0
1.026237782E1,-5.215059650E0,2.276336766E0
1.027175850E1,-5.215132763E0,2.276724758E0
1.028113919E1,-5.215183233E0,2.276971485E0
1.029051988E1,-5.215214553E0,2.277209426E0
1.029990056E1,-5.208349631E0,2.276248545E0
1.030928125E1,-5.168957736E0,2.274275105E0
1.031866194E1,-5.074102986E0,2.275979632E0
1.032804263E1,-5.066160967E0,2.278369370E0
1.033742331E1,-5.065671719E0,2.278325284E0
1.034680400E1,-5.065541657E0,2.278688217E0
1.035618469E1,-5.065358921E0,2.278815963E0
1.036556537E1,-5.065369440E0,2.278848546E0
1.037494606E1,-5.065285891E0,2.279056132E0
1.038432675E1,-5.060801925E0,2.277948012E0
1.039370744E1,-5.027816513E0,2.277064361E0
1.040308812E1,-4.958231918E0,2.278819601E0
1.041246881E1,-4.943559668E0,2.280618156E0
1.042184950E1,-4.917304080E0,2.281393117E0
1.043123018E1,-4.886331953E0,2.282581385E0
1.044061087E1,-4.880964710E0,2.283367828E0
1.044999156E1,-4.881025418E0,2.283206059E0
1.045937224E1,-4.880819243E0,2.283289881E0
1.046875293E1,-4.877363711E0,2.281842100E0
1.047813362E1,-4.859174645E0,2.278586171E0
1.048751431E1,-4.848663915E0,2.276841629E0
1.049689499E1,-4.836218638E0,2.276290631E0
1.050627568E1,-4.821946590E0,2.275721005E0
1.051565637E1,-4.808843312E0,2.276141348E0
1.052503705E1,-4.798292788E0,2.275760763E0
1.053441774E1,-4.786135880E0,2.276281031E0
1.054379843E1,-4.772281270E0,2.277225883E0
1.055317911E1,-4.760040650E0,2.276939554E0
1.056255980E1,-4.732978053E0,2.274879261E0
1.057194049E1,-4.697574705E0,2.273963447E0
1.058132118E1,-4.685130415E0,2.275210170E0
1.059070186E1,-4.670725660E0,2.274964726E0
1.060008255E1,-4.660758310E0,2.274374286E0
1.060946324E1,-4.651193721E0,2.274660572E0
1.061884392E1,-4.636610984E0,2.273758092E0
1.062822461E1,-4.623134963E0,2.274909746E0
1.063760530E1,-4.611638682E0,2.276481978E0
1.064698599E1,-4.602850200E0,2.279620061E0
1.065636667E1,-4.587496922E0,2.282613984E0
1.066574736E1,-4.576396208E0,2.282102980E0
1.067512805E1,-4.561657394E0,2.278650374E0
1.068450873E1,-4.546599865E0,2.276681143E0
1.069388942E1,-4.536591634E0,2.274173314E0
1.070327011E1,-4.520187263E0,2.272408538E0
1.071265079E1,-4.510803879E0,2.268731992E0
1.072203148E1,-4.500656639E0,2.268904006E0
1.073141217E1,-4.486251469E0,2.272413060E0
1.074079286E1,-4.472475555E0,2.275387535E0
1.075017354E1,-4.459614450E0,2.276524406E0
1.075955423E1,-4.429787005E0,2.275078609E0
1.076893492E1,-4.395049346E0,2.275763085E0
1.077831560E1,-4.383303040E0,2.276317850E0
1.078769629E1,-4.368905502E0,2.276322486E0
1.079707698E1,-4.357745251E0,2.276523701E0
1.080645766E1,-4.346925712E0,2.276708385E0
1.081583835E1,-4.333322215E0,2.275819122E0
1.082521904E1,-4.319298482E0,2.274814831E0
1.083459973E1,-4.314603639E0,2.275342687E0
1.084398041E1,-4.315036489E0,2.275074647E0
1.085336110E1,-4.314957462E0,2.275449001E0
1.086274179E1,-4.314971264E0,2.275504662E0
1.087212247E1,-4.315068915E0,2.275739832E0
1.088150316E1,-4.315027598E0,2.276300361E0
1.089088385E1,-4.308099389E0,2.275253322E0
1.090026454E1,-4.273496959E0,2.272684244E0
1.090964522E1,-4.209424377E0,2.276211528E0
1.091902591E1,-4.196407254E0,2.278800550E0
1.092840660E1,-4.181290316E0,2.278959569E0
1.093778728E1,-4.166800821E0,2.279212074E0
1.094716797E1,-4.162322179E0,2.279830785E0
1.095654866E1,-4.162393054E0,2.279951038E0
1.096592934E1,-4.162388943E0,2.279819131E0
1.097531003E1,-4.162408361E0,2.279624165E0
1.098469072E1,-4.162269413E0,2.279564074E0
1.099407141E1,-4.162292609E0,2.279529482E0
1.100345209E1,-4.154893115E0,2.277961547E0
1.101283278E1,-4.112023007E0,2.276171291E0
1.102221347E1,-3.980858358E0,2.279079470E0
1.103159415E1,-3.974346727E0,2.281162586E0
1.104097484E1,-3.974460165E0,2.281237940E0
1.105035553E1,-3.974893979E0,2.281024996E0
1.105973622E1,-3.968942783E0,2.280370121E0
1.106911690E1,-3.954009378E0,2.279630403E0
1.107849759E1,-3.941168643E0,2.279364206E0
1.108787828E1,-3.930221586E0,2.279013910E0
1.109725896E1,-3.913470252E0,2.277562028E0
1.110663965E1,-3.896499708E0,2.278184517E0
1.111602034E1,-3.887260874E0,2.277512329E0
1.112539164E1,-3.871660836E0,2.276864416E0
